environment,frozen_registry_sha256,group,gain_mean,gain_sd,permutation_mean,permutation_sd,n_folds
clean,f18c06f33f3f7f4037c074c58543ed7ff96342108bb4d39838262b626974df62,delta:formatting_layout,0.014890174027511695,0.0026127470479323307,0.0005627271099023519,0.0020958727287653184,60
clean,f18c06f33f3f7f4037c074c58543ed7ff96342108bb4d39838262b626974df62,relative_delta:original_style,0.05657196335219885,0.02719562816838501,0.0006654848458227169,0.0032755845903924487,60
clean,f18c06f33f3f7f4037c074c58543ed7ff96342108bb4d39838262b626974df62,relative_delta:lexical,0.10719843316485837,0.026717172451808997,0.003296221347728301,0.006466495531759129,60
clean,f18c06f33f3f7f4037c074c58543ed7ff96342108bb4d39838262b626974df62,relative_delta:structural_syntax,0.2954675708356422,0.04258044624362915,0.00846220277975664,0.010260236775496468,60
clean,f18c06f33f3f7f4037c074c58543ed7ff96342108bb4d39838262b626974df62,relative_delta:formatting_layout,0.014435843939234817,0.0046647442171054475,9.110261737162081e-05,0.0023699801553911997,60
combined_attack,f18c06f33f3f7f4037c074c58543ed7ff96342108bb4d39838262b626974df62,human_absolute:original_style,0.019603127755675256,0.0036559946139218084,-0.00010878855102037787,0.003132789649925538,60
combined_attack,f18c06f33f3f7f4037c074c58543ed7ff96342108bb4d39838262b626974df62,human_absolute:lexical,0.015459598486674457,0.0036699697972699167,-0.0003011179639238341,0.004151393092640871,60
combined_attack,f18c06f33f3f7f4037c074c58543ed7ff96342108bb4d39838262b626974df62,human_absolute:structural_syntax,0.015822032990205532,0.0038734459556176246,2.004156226297349e-05,0.0025252563531452878,60
combined_attack,f18c06f33f3f7f4037c074c58543ed7ff96342108bb4d39838262b626974df62,human_absolute:formatting_layout,0.008005857660429957,0.0021028906920760302,-1.685856186859902e-05,0.002336951926828287,60
combined_attack,f18c06f33f3f7f4037c074c58543ed7ff96342108bb4d39838262b626974df62,candidate_absolute:original_style,0.022012301982683346,0.0029906488805982374,0.00027407685467627875,0.003426196350171642,60
combined_attack,f18c06f33f3f7f4037c074c58543ed7ff96342108bb4d39838262b626974df62,candidate_absolute:lexical,0.01726277638337448,0.003929206651536461,5.512679501148606e-05,0.004099804441573307,60
combined_attack,f18c06f33f3f7f4037c074c58543ed7ff96342108bb4d39838262b626974df62,candidate_absolute:structural_syntax,0.026136996537212798,0.005501015021875014,-0.00011394230250272308,0.0030539819153200926,60
combined_attack,f18c06f33f3f7f4037c074c58543ed7ff96342108bb4d39838262b626974df62,candidate_absolute:formatting_layout,0.007393773114979056,0.0017852283161580802,-4.728338742206091e-05,0.00232004393927599,60
combined_attack,f18c06f33f3f7f4037c074c58543ed7ff96342108bb4d39838262b626974df62,delta:original_style,0.07998466319347072,0.036917675273811276,0.011229569654432515,0.010475657435377726,60
combined_attack,f18c06f33f3f7f4037c074c58543ed7ff96342108bb4d39838262b626974df62,delta:lexical,0.12939078124363873,0.018455257681128056,0.010105032590813754,0.012176756481491401,60
combined_attack,f18c06f33f3f7f4037c074c58543ed7ff96342108bb4d39838262b626974df62,delta:structural_syntax,0.17036410533220978,0.033705551202273726,0.00593553772701602,0.008616461122870737,60
combined_attack,f18c06f33f3f7f4037c074c58543ed7ff96342108bb4d39838262b626974df62,delta:formatting_layout,0.014890174027511695,0.0026127470479323307,0.00013134579563363243,0.004049483343751195,60
combined_attack,f18c06f33f3f7f4037c074c58543ed7ff96342108bb4d39838262b626974df62,relative_delta:original_style,0.05657196335219885,0.02719562816838501,0.0017322744630776838,0.004619688992218251,60
combined_attack,f18c06f33f3f7f4037c074c58543ed7ff96342108bb4d39838262b626974df62,relative_delta:lexical,0.10719843316485837,0.026717172451808997,0.0022845055727372166,0.008262266502991666,60
combined_attack,f18c06f33f3f7f4037c074c58543ed7ff96342108bb4d39838262b626974df62,relative_delta:structural_syntax,0.2954675708356422,0.04258044624362915,0.02432034348249692,0.01988913164524222,60
combined_attack,f18c06f33f3f7f4037c074c58543ed7ff96342108bb4d39838262b626974df62,relative_delta:formatting_layout,0.014435843939234817,0.0046647442171054475,-0.0007365665068591469,0.004304386540650872,60
cross_language,f18c06f33f3f7f4037c074c58543ed7ff96342108bb4d39838262b626974df62,human_absolute:original_style,0.017377958607929983,0.00201322559159361,0.0004942254562486648,0.001467473427010572,12
cross_language,f18c06f33f3f7f4037c074c58543ed7ff96342108bb4d39838262b626974df62,human_absolute:lexical,0.010009279205557737,0.0013034138532950013,6.684971660099921e-05,0.0020162196534806278,12
cross_language,f18c06f33f3f7f4037c074c58543ed7ff96342108bb4d39838262b626974df62,human_absolute:structural_syntax,0.01092414623284898,0.0010370673452339185,4.056931715105498e-07,0.0007553399327741971,12
cross_language,f18c06f33f3f7f4037c074c58543ed7ff96342108bb4d39838262b626974df62,human_absolute:formatting_layout,0.004797381513752483,0.0004522176185625349,0.0003365413099733483,0.0009442615195275239,12
cross_language,f18c06f33f3f7f4037c074c58543ed7ff96342108bb4d39838262b626974df62,candidate_absolute:original_style,0.020828436882922283,0.00251469721170614,0.0014420777938836948,0.001915818241651229,12
cross_language,f18c06f33f3f7f4037c074c58543ed7ff96342108bb4d39838262b626974df62,candidate_absolute:lexical,0.011719004229385549,0.0010638577438465975,0.0010727841163093998,0.0020808481363451237,12
cross_language,f18c06f33f3f7f4037c074c58543ed7ff96342108bb4d39838262b626974df62,candidate_absolute:structural_syntax,0.025684675327841428,0.006390726183514876,0.0006647084017329293,0.0011256046443747323,12
cross_language,f18c06f33f3f7f4037c074c58543ed7ff96342108bb4d39838262b626974df62,candidate_absolute:formatting_layout,0.004671792216523307,0.0005018638916037473,-1.4245324678160051e-05,0.0005549034852527834,12
cross_language,f18c06f33f3f7f4037c074c58543ed7ff96342108bb4d39838262b626974df62,delta:original_style,0.08364433934476899,0.015728809785294555,0.009455458582090986,0.004456078073413352,12
cross_language,f18c06f33f3f7f4037c074c58543ed7ff96342108bb4d39838262b626974df62,delta:lexical,0.12051009581890587,0.011800755188699382,0.00889727023178378,0.0055767443516422125,12
cross_language,f18c06f33f3f7f4037c074c58543ed7ff96342108bb4d39838262b626974df62,delta:structural_syntax,0.1617385999133125,0.029726210083646024,0.006412852698957684,0.003438580643071643,12
cross_language,f18c06f33f3f7f4037c074c58543ed7ff96342108bb4d39838262b626974df62,delta:formatting_layout,0.01695831842877705,0.00293810801971056,0.0006453694043117852,0.0016553362893324667,12
cross_language,f18c06f33f3f7f4037c074c58543ed7ff96342108bb4d39838262b626974df62,relative_delta:original_style,0.05637110902723774,0.015099388593401073,0.001526788981813687,0.002237254488355156,12
cross_language,f18c06f33f3f7f4037c074c58543ed7ff96342108bb4d39838262b626974df62,relative_delta:lexical,0.10351531865494774,0.027828317145461096,0.0051967050443681535,0.0042180537469175515,12
cross_language,f18c06f33f3f7f4037c074c58543ed7ff96342108bb4d39838262b626974df62,relative_delta:structural_syntax,0.3396719606618879,0.059587698101570455,0.007178538313698672,0.0035747318750033977,12
cross_language,f18c06f33f3f7f4037c074c58543ed7ff96342108bb4d39838262b626974df62,relative_delta:formatting_layout,0.011577583933400531,0.002546100240665371,-4.2880738502661574e-05,0.0010924878925501536,12
unseen_llm,f18c06f33f3f7f4037c074c58543ed7ff96342108bb4d39838262b626974df62,human_absolute:original_style,0.021894321518189055,0.006800556639358585,0.00031432693019072303,0.005275306360588159,240
unseen_llm,f18c06f33f3f7f4037c074c58543ed7ff96342108bb4d39838262b626974df62,human_absolute:lexical,0.01655219923964286,0.0047049568472772195,0.001233001439400259,0.00559537187706655,240
unseen_llm,f18c06f33f3f7f4037c074c58543ed7ff96342108bb4d39838262b626974df62,human_absolute:structural_syntax,0.016698026483243034,0.004818530736020131,0.00020933859692513212,0.003846505746854354,240
unseen_llm,f18c06f33f3f7f4037c074c58543ed7ff96342108bb4d39838262b626974df62,human_absolute:formatting_layout,0.00842478356067489,0.0024241888779883048,-8.158383329492462e-05,0.003941963438018897,240
unseen_llm,f18c06f33f3f7f4037c074c58543ed7ff96342108bb4d39838262b626974df62,candidate_absolute:original_style,0.02356810670296805,0.004469314577129989,0.00033623456323009275,0.0057720833616419715,240
unseen_llm,f18c06f33f3f7f4037c074c58543ed7ff96342108bb4d39838262b626974df62,candidate_absolute:lexical,0.018583727131946913,0.004606971530632708,0.0013557078915480026,0.006748749979264042,240
unseen_llm,f18c06f33f3f7f4037c074c58543ed7ff96342108bb4d39838262b626974df62,candidate_absolute:structural_syntax,0.02695991362198742,0.008044682307717864,0.0005765550908579567,0.005672467159482153,240
unseen_llm,f18c06f33f3f7f4037c074c58543ed7ff96342108bb4d39838262b626974df62,candidate_absolute:formatting_layout,0.008142732614147694,0.002472595875532581,-8.276647162056098e-05,0.003757009321427044,240
unseen_llm,f18c06f33f3f7f4037c074c58543ed7ff96342108bb4d39838262b626974df62,delta:original_style,0.08246566821439397,0.04716586089154246,0.007953630610793813,0.014096329005349054,240
unseen_llm,f18c06f33f3f7f4037c074c58543ed7ff96342108bb4d39838262b626974df62,delta:lexical,0.12964751327728555,0.02308280403579415,0.008365438044050521,0.017020220016554784,240
unseen_llm,f18c06f33f3f7f4037c074c58543ed7ff96342108bb4d39838262b626974df62,delta:structural_syntax,0.15792342489962946,0.05306203362037306,0.005085277637459554,0.012341232015554735,240
unseen_llm,f18c06f33f3f7f4037c074c58543ed7ff96342108bb4d39838262b626974df62,delta:formatting_layout,0.0153534177872673,0.0031883983008243327,0.0005892838607694558,0.005760803185158084,240
unseen_llm,f18c06f33f3f7f4037c074c58543ed7ff96342108bb4d39838262b626974df62,relative_delta:original_style,0.05962479350721539,0.026910002083012325,0.0011372710355723856,0.007088627405979106,240
unseen_llm,f18c06f33f3f7f4037c074c58543ed7ff96342108bb4d39838262b626974df62,relative_delta:lexical,0.1203177938378467,0.04238915783640004,0.004512941703414665,0.013480722275141264,240
unseen_llm,f18c06f33f3f7f4037c074c58543ed7ff96342108bb4d39838262b626974df62,relative_delta:structural_syntax,0.2790360294141434,0.05749921445978882,0.010952169522815124,0.02159804060494273,240
unseen_llm,f18c06f33f3f7f4037c074c58543ed7ff96342108bb4d39838262b626974df62,relative_delta:formatting_layout,0.014807548189418337,0.004945668175880486,0.0005734551668780989,0.006161524681625923,240
