environment,frozen_registry_sha256,feature,gain_mean,gain_sd,n_folds
clean,f18c06f33f3f7f4037c074c58543ed7ff96342108bb4d39838262b626974df62,candidate_absolute:structural_syntax_06,0.0022817191641534428,0.0007817380624763986,60
clean,f18c06f33f3f7f4037c074c58543ed7ff96342108bb4d39838262b626974df62,candidate_absolute:structural_syntax_07,0.001306267585759921,0.0015728511657099823,60
clean,f18c06f33f3f7f4037c074c58543ed7ff96342108bb4d39838262b626974df62,candidate_absolute:formatting_layout_00,0.0016891884814106877,0.0006271875685538013,60
clean,f18c06f33f3f7f4037c074c58543ed7ff96342108bb4d39838262b626974df62,candidate_absolute:formatting_layout_01,0.0018316439076737883,0.000519589399672602,60
clean,f18c06f33f3f7f4037c074c58543ed7ff96342108bb4d39838262b626974df62,candidate_absolute:formatting_layout_02,0.0017636844147975747,0.0003491022496941624,60
clean,f18c06f33f3f7f4037c074c58543ed7ff96342108bb4d39838262b626974df62,candidate_absolute:formatting_layout_03,0.002109256311097005,0.0008372084816805547,60
clean,f18c06f33f3f7f4037c074c58543ed7ff96342108bb4d39838262b626974df62,delta:original_style_00,0.007389772448454588,0.007269049562245075,60
clean,f18c06f33f3f7f4037c074c58543ed7ff96342108bb4d39838262b626974df62,delta:original_style_01,0.00619934024466462,0.0030871903751986717,60
clean,f18c06f33f3f7f4037c074c58543ed7ff96342108bb4d39838262b626974df62,delta:original_style_02,0.005543958365229524,0.004466150812327978,60
clean,f18c06f33f3f7f4037c074c58543ed7ff96342108bb4d39838262b626974df62,delta:original_style_03,0.003907131322933353,0.0024738605123737828,60
clean,f18c06f33f3f7f4037c074c58543ed7ff96342108bb4d39838262b626974df62,delta:original_style_04,0.003986322068601802,0.0021613434326959724,60
clean,f18c06f33f3f7f4037c074c58543ed7ff96342108bb4d39838262b626974df62,delta:original_style_05,0.008730164242268322,0.0067685326302325995,60
clean,f18c06f33f3f7f4037c074c58543ed7ff96342108bb4d39838262b626974df62,delta:original_style_06,0.01180780502367386,0.006019848303612651,60
clean,f18c06f33f3f7f4037c074c58543ed7ff96342108bb4d39838262b626974df62,delta:original_style_07,0.002967114795016274,0.0018927486497426465,60
clean,f18c06f33f3f7f4037c074c58543ed7ff96342108bb4d39838262b626974df62,delta:original_style_08,0.020948304793986083,0.014635625892068467,60
clean,f18c06f33f3f7f4037c074c58543ed7ff96342108bb4d39838262b626974df62,delta:original_style_09,0.00850474988864228,0.004865889095978161,60
clean,f18c06f33f3f7f4037c074c58543ed7ff96342108bb4d39838262b626974df62,delta:lexical_00,0.049124383575590035,0.01679043483279619,60
clean,f18c06f33f3f7f4037c074c58543ed7ff96342108bb4d39838262b626974df62,delta:lexical_01,0.016297107944562923,0.005159271516623713,60
clean,f18c06f33f3f7f4037c074c58543ed7ff96342108bb4d39838262b626974df62,delta:lexical_02,0.017143109245812863,0.008892501492166357,60
clean,f18c06f33f3f7f4037c074c58543ed7ff96342108bb4d39838262b626974df62,delta:lexical_03,0.01398375789948039,0.005455710492244523,60
