environment,frozen_registry_sha256,feature,permutation_mean,permutation_sd,n_folds
combined_attack,f18c06f33f3f7f4037c074c58543ed7ff96342108bb4d39838262b626974df62,human_absolute:original_style_07,8.057266851868582e-06,0.0008604098301078225,60
combined_attack,f18c06f33f3f7f4037c074c58543ed7ff96342108bb4d39838262b626974df62,human_absolute:original_style_08,0.0001755404901332284,0.0010207064622859774,60
combined_attack,f18c06f33f3f7f4037c074c58543ed7ff96342108bb4d39838262b626974df62,human_absolute:original_style_09,-5.6390943610832674e-05,0.0007673948476645444,60
combined_attack,f18c06f33f3f7f4037c074c58543ed7ff96342108bb4d39838262b626974df62,human_absolute:lexical_00,0.0004620703069690535,0.0014194102196430902,60
combined_attack,f18c06f33f3f7f4037c074c58543ed7ff96342108bb4d39838262b626974df62,human_absolute:lexical_01,-0.0005848240769054047,0.001209932424613165,60
combined_attack,f18c06f33f3f7f4037c074c58543ed7ff96342108bb4d39838262b626974df62,human_absolute:lexical_02,-0.0003320893175201308,0.0015989577102238114,60
combined_attack,f18c06f33f3f7f4037c074c58543ed7ff96342108bb4d39838262b626974df62,human_absolute:lexical_03,-1.3354496631743743e-05,0.001092598445031845,60
combined_attack,f18c06f33f3f7f4037c074c58543ed7ff96342108bb4d39838262b626974df62,human_absolute:lexical_04,-3.800058856015346e-05,0.0012146737725795477,60
combined_attack,f18c06f33f3f7f4037c074c58543ed7ff96342108bb4d39838262b626974df62,human_absolute:lexical_05,0.00020508020872454514,0.0014713581280373894,60
combined_attack,f18c06f33f3f7f4037c074c58543ed7ff96342108bb4d39838262b626974df62,human_absolute:structural_syntax_00,0.00011495817714832213,0.0008294595425366999,60
combined_attack,f18c06f33f3f7f4037c074c58543ed7ff96342108bb4d39838262b626974df62,human_absolute:structural_syntax_01,-0.0001758744540457935,0.0007665396057843648,60
combined_attack,f18c06f33f3f7f4037c074c58543ed7ff96342108bb4d39838262b626974df62,human_absolute:structural_syntax_02,0.00011972052070907494,0.0006381574710138546,60
combined_attack,f18c06f33f3f7f4037c074c58543ed7ff96342108bb4d39838262b626974df62,human_absolute:structural_syntax_03,1.1314941830511034e-05,0.000558015287879698,60
combined_attack,f18c06f33f3f7f4037c074c58543ed7ff96342108bb4d39838262b626974df62,human_absolute:structural_syntax_04,6.110845915504222e-05,0.0011003487959285365,60
combined_attack,f18c06f33f3f7f4037c074c58543ed7ff96342108bb4d39838262b626974df62,human_absolute:structural_syntax_05,2.6700284698523886e-05,0.0002698417629118194,60
combined_attack,f18c06f33f3f7f4037c074c58543ed7ff96342108bb4d39838262b626974df62,human_absolute:structural_syntax_06,-0.00014990040178730808,0.0007828665954857359,60
combined_attack,f18c06f33f3f7f4037c074c58543ed7ff96342108bb4d39838262b626974df62,human_absolute:structural_syntax_07,1.2014034554600853e-05,0.00013794945140383776,60
combined_attack,f18c06f33f3f7f4037c074c58543ed7ff96342108bb4d39838262b626974df62,human_absolute:formatting_layout_00,-4.596028784466892e-05,0.0012639069205645044,60
combined_attack,f18c06f33f3f7f4037c074c58543ed7ff96342108bb4d39838262b626974df62,human_absolute:formatting_layout_01,3.188383258284263e-05,0.0014026650471927187,60
combined_attack,f18c06f33f3f7f4037c074c58543ed7ff96342108bb4d39838262b626974df62,human_absolute:formatting_layout_02,-3.7916833899441044e-05,0.0007281066366869314,60
combined_attack,f18c06f33f3f7f4037c074c58543ed7ff96342108bb4d39838262b626974df62,human_absolute:formatting_layout_03,3.513472729266831e-05,0.0006999503237145277,60
combined_attack,f18c06f33f3f7f4037c074c58543ed7ff96342108bb4d39838262b626974df62,candidate_absolute:original_style_00,7.500444051095993e-05,0.0009944705216822104,60
combined_attack,f18c06f33f3f7f4037c074c58543ed7ff96342108bb4d39838262b626974df62,candidate_absolute:original_style_01,-2.3263040675395676e-05,0.0008265514157414275,60
combined_attack,f18c06f33f3f7f4037c074c58543ed7ff96342108bb4d39838262b626974df62,candidate_absolute:original_style_02,1.3059093480638494e-05,0.0004798840493960083,60
combined_attack,f18c06f33f3f7f4037c074c58543ed7ff96342108bb4d39838262b626974df62,candidate_absolute:original_style_03,1.5350106070718036e-05,0.0003101225779510843,60
combined_attack,f18c06f33f3f7f4037c074c58543ed7ff96342108bb4d39838262b626974df62,candidate_absolute:original_style_04,-0.00015468065505367575,0.0007664166104120297,60
combined_attack,f18c06f33f3f7f4037c074c58543ed7ff96342108bb4d39838262b626974df62,candidate_absolute:original_style_05,6.085045556391e-05,0.0011526507710163368,60
combined_attack,f18c06f33f3f7f4037c074c58543ed7ff96342108bb4d39838262b626974df62,candidate_absolute:original_style_06,-2.8264555966820795e-05,0.0009318483516949048,60
combined_attack,f18c06f33f3f7f4037c074c58543ed7ff96342108bb4d39838262b626974df62,candidate_absolute:original_style_07,0.00019417751016985544,0.00043944227017401045,60
combined_attack,f18c06f33f3f7f4037c074c58543ed7ff96342108bb4d39838262b626974df62,candidate_absolute:original_style_08,7.446026981598093e-05,0.000969545458919317,60
combined_attack,f18c06f33f3f7f4037c074c58543ed7ff96342108bb4d39838262b626974df62,candidate_absolute:original_style_09,4.738323076010816e-05,0.0008774352307447849,60
combined_attack,f18c06f33f3f7f4037c074c58543ed7ff96342108bb4d39838262b626974df62,candidate_absolute:lexical_00,0.00026061452309788515,0.001914931110633656,60
combined_attack,f18c06f33f3f7f4037c074c58543ed7ff96342108bb4d39838262b626974df62,candidate_absolute:lexical_01,-0.000257211125830048,0.0010572855987312363,60
combined_attack,f18c06f33f3f7f4037c074c58543ed7ff96342108bb4d39838262b626974df62,candidate_absolute:lexical_02,-1.2605232923664408e-05,0.001418417381660614,60
combined_attack,f18c06f33f3f7f4037c074c58543ed7ff96342108bb4d39838262b626974df62,candidate_absolute:lexical_03,-0.00010643500574858597,0.0008212113008452091,60
combined_attack,f18c06f33f3f7f4037c074c58543ed7ff96342108bb4d39838262b626974df62,candidate_absolute:lexical_04,9.199964376360355e-05,0.001334802018140546,60
combined_attack,f18c06f33f3f7f4037c074c58543ed7ff96342108bb4d39838262b626974df62,candidate_absolute:lexical_05,7.876399265229576e-05,0.001487317694273472,60
combined_attack,f18c06f33f3f7f4037c074c58543ed7ff96342108bb4d39838262b626974df62,candidate_absolute:structural_syntax_00,-6.999870577887128e-05,0.00093707337642902,60
combined_attack,f18c06f33f3f7f4037c074c58543ed7ff96342108bb4d39838262b626974df62,candidate_absolute:structural_syntax_01,-0.0001292610768673245,0.0007725587896488849,60
combined_attack,f18c06f33f3f7f4037c074c58543ed7ff96342108bb4d39838262b626974df62,candidate_absolute:structural_syntax_02,-7.098931720100898e-06,0.0008173555922053082,60
combined_attack,f18c06f33f3f7f4037c074c58543ed7ff96342108bb4d39838262b626974df62,candidate_absolute:structural_syntax_03,0.00019788677015742385,0.000966015806138959,60
combined_attack,f18c06f33f3f7f4037c074c58543ed7ff96342108bb4d39838262b626974df62,candidate_absolute:structural_syntax_04,4.3961014925027646e-05,0.0007613790558814217,60
combined_attack,f18c06f33f3f7f4037c074c58543ed7ff96342108bb4d39838262b626974df62,candidate_absolute:structural_syntax_05,-5.118311679874754e-06,0.0005442514085840375,60
combined_attack,f18c06f33f3f7f4037c074c58543ed7ff96342108bb4d39838262b626974df62,candidate_absolute:structural_syntax_06,-0.00017776457826354692,0.0011783968555611779,60
combined_attack,f18c06f33f3f7f4037c074c58543ed7ff96342108bb4d39838262b626974df62,candidate_absolute:structural_syntax_07,3.345151672454379e-05,0.00014166677872681693,60
